날짜,PM10_MIN,PM10_MAX,PM10_AVG
2008-06-24,1.0,27.0,14.7
2008-06-25,0.0,40.0,16.1
2008-06-26,0.0,75.0,31.6
2008-06-27,13.0,124.0,45.7
2008-06-28,11.0,77.0,51.0
2008-06-29,0.0,32.0,11.0
2008-06-30,0.0,93.0,20.5
2008-07-01,6.0,52.0,26.4
2008-07-02,0.0,48.0,16.6
2008-07-03,0.0,79.0,33.5
2008-07-04,16.0,106.0,70.0
2008-07-05,0.0,50.0,23.1
2008-07-06,26.0,81.0,46.8
2008-07-07,28.0,98.0,61.6
2008-07-08,11.0,117.0,35.5
2008-07-09,0.0,38.0,18.6
2008-07-10,1.0,47.0,20.0
2008-07-11,8.0,86.0,29.5
2008-07-12,5.0,61.0,32.0
2008-07-13,5.0,68.0,43.4
2008-07-14,32.0,95.0,56.7
2008-07-15,11.0,73.0,40.9
2008-07-16,0.0,38.0,18.8
2008-07-17,8.0,82.0,38.4
2008-07-18,42.0,128.0,69.4
2008-07-19,0.0,111.0,40.1
2008-07-20,0.0,9.0,1.2
2008-07-21,0.0,23.0,7.3
2008-07-22,11.0,103.0,51.7
2008-07-23,52.0,119.0,85.3
2008-07-24,0.0,55.0,17.2
2008-07-25,0.0,21.0,7.7
2008-07-26,0.0,19.0,6.8
2008-07-27,0.0,43.0,19.4
2008-07-28,16.0,64.0,38.7
2008-07-29,6.0,68.0,30.5
2008-07-30,0.0,39.0,18.2
2008-07-31,4.0,42.0,23.9
2008-08-01,7.0,33.0,19.6
2008-08-02,12.0,70.0,37.5
2008-08-03,8.0,71.0,31.6
2008-08-04,25.0,78.0,50.9
2008-08-05,33.0,81.0,55.7
2008-08-06,25.0,69.0,49.0
2008-08-07,15.0,55.0,37.0
2008-08-08,14.0,58.0,38.7
2008-08-09,2.0,47.0,20.2
2008-08-10,6.0,37.0,18.9
2008-08-11,0.0,54.0,28.4
2008-08-12,0.0,24.0,7.4
2008-08-13,0.0,64.0,14.0
2008-08-14,7.0,57.0,29.2
2008-08-15,2.0,47.0,25.2
2008-08-16,1.0,23.0,13.1
2008-08-17,4.0,28.0,15.8
2008-08-18,4.0,52.0,18.5
2008-08-19,17.0,58.0,32.7
2008-08-20,0.0,63.0,36.7
2008-08-21,0.0,34.0,13.7
2008-08-22,0.0,26.0,9.7
2008-08-23,0.0,30.0,12.1
2008-08-24,0.0,30.0,13.4
2008-08-25,0.0,31.0,17.4
2008-08-26,3.0,31.0,13.8
2008-08-27,1.0,25.0,12.7
2008-08-28,0.0,45.0,23.8
2008-08-29,19.0,79.0,49.8
2008-08-30,20.0,80.0,40.4
2008-08-31,11.0,120.0,30.0
2008-09-01,0.0,35.0,10.1
2008-09-02,0.0,22.0,7.0
2008-09-03,10.0,60.0,35.6
2008-09-04,13.0,60.0,30.9
2008-09-05,16.0,47.0,31.3
2008-09-06,15.0,72.0,37.1
2008-09-07,31.0,65.0,47.3
2008-09-08,0.0,345.0,52.5
2008-09-09,13.0,126.0,57.0
2008-09-10,0.0,134.0,64.1
2008-09-11,8.0,156.0,75.3
2008-09-12,0.0,132.0,54.5
2008-09-13,11.0,64.0,38.0
2008-09-14,0.0,81.0,35.9
2008-09-15,2.0,73.0,35.7
2008-09-16,0.0,88.0,42.7
2008-09-17,0.0,75.0,42.7
2008-09-18,0.0,85.0,22.1
2008-09-19,3.0,86.0,34.5
2008-09-20,0.0,90.0,42.5
2008-09-21,0.0,61.0,35.7
2008-09-22,0.0,113.0,40.9
2008-09-23,0.0,86.0,46.4
2008-09-24,0.0,84.0,35.0
2008-09-25,0.0,44.0,19.0
2008-09-26,0.0,69.0,30.3
2008-09-27,15.0,59.0,32.4
2008-09-28,24.0,57.0,37.4
2008-09-29,17.0,48.0,34.0
2008-09-30,20.0,82.0,50.5
2008-10-01,18.0,79.0,47.9
2008-10-02,28.0,75.0,44.4
2008-10-03,24.0,93.0,49.9
2008-10-04,29.0,92.0,57.0
2008-10-05,33.0,82.0,56.5
2008-10-06,29.0,113.0,57.0
2008-10-07,7.0,57.0,37.0
2008-10-08,6.0,63.0,29.2
2008-10-09,16.0,77.0,44.4
2008-10-10,20.0,140.0,59.2
2008-10-11,22.0,86.0,53.2
2008-10-12,24.0,69.0,44.3
2008-10-13,25.0,75.0,46.5
2008-10-14,21.0,71.0,46.5
2008-10-15,51.0,171.0,91.4
2008-10-16,98.0,202.0,137.1
2008-10-17,119.0,216.0,149.9
2008-10-18,84.0,164.0,123.0
2008-10-19,77.0,224.0,138.8
2008-10-20,83.0,198.0,124.2
2008-10-21,57.0,120.0,85.2
2008-10-22,12.0,88.0,36.6
2008-10-23,0.0,56.0,19.5
2008-10-24,0.0,43.0,19.3
2008-10-25,14.0,65.0,33.9
2008-10-26,16.0,90.0,40.1
2008-10-27,17.0,48.0,35.5
2008-10-28,14.0,64.0,31.9
2008-10-29,17.0,86.0,42.5
2008-10-30,24.0,59.0,43.3
2008-10-31,18.0,75.0,45.6
2008-11-01,12.0,64.0,40.4
2008-11-02,14.0,145.0,64.9
2008-11-03,17.0,108.0,42.5
2008-11-04,17.0,70.0,36.6
2008-11-05,37.0,72.0,51.9
2008-11-06,50.0,187.0,85.0
2008-11-07,39.0,215.0,129.7
2008-11-08,0.0,72.0,34.8
2008-11-09,0.0,32.0,12.2
2008-11-10,0.0,39.0,14.9
2008-11-11,0.0,42.0,23.2
2008-11-12,26.0,67.0,41.4
2008-11-13,28.0,74.0,49.2
2008-11-14,37.0,78.0,56.4
2008-11-15,29.0,90.0,61.7
2008-11-16,14.0,81.0,39.7
2008-11-17,11.0,57.0,29.1
2008-11-18,14.0,67.0,30.3
2008-11-19,12.0,50.0,32.3
2008-11-20,10.0,108.0,39.7
2008-11-21,2.0,60.0,29.6
2008-11-22,17.0,82.0,36.3
2008-11-23,26.0,75.0,54.5
2008-11-24,44.0,93.0,70.3
2008-11-25,31.0,83.0,63.2
2008-11-26,55.0,103.0,77.2
2008-11-27,10.0,80.0,42.0
2008-11-28,8.0,68.0,35.6
2008-11-29,8.0,56.0,30.4
2008-11-30,13.0,46.0,31.1
2008-12-01,15.0,57.0,38.6
2008-12-02,16.0,300.0,132.9
2008-12-03,45.0,142.0,88.2
2008-12-04,3.0,129.0,58.2
2008-12-05,10.0,55.0,30.4
2008-12-06,18.0,56.0,33.8
2008-12-07,23.0,65.0,39.9
2008-12-08,17.0,143.0,74.6
2008-12-09,85.0,315.0,160.9
2008-12-10,105.0,180.0,134.9
2008-12-11,11.0,181.0,50.8
2008-12-12,27.0,96.0,54.0
2008-12-13,28.0,93.0,61.5
2008-12-14,8.0,63.0,31.2
2008-12-15,11.0,79.0,42.3
2008-12-16,41.0,108.0,63.7
2008-12-17,55.0,253.0,107.8
2008-12-18,28.0,103.0,46.1
2008-12-19,23.0,76.0,43.7
2008-12-20,11.0,89.0,52.3
2008-12-21,35.0,75.0,50.5
2008-12-22,18.0,79.0,35.8
2008-12-23,18.0,80.0,44.9
2008-12-24,0.0,85.0,47.0
2008-12-25,16.0,122.0,55.5
2008-12-26,19.0,48.0,30.9
2008-12-27,23.0,113.0,56.4
2008-12-28,59.0,111.0,78.3
2008-12-29,34.0,113.0,75.3
2008-12-30,23.0,62.0,43.1
2008-12-31,28.0,61.0,44.8
2009-01-01,34.0,57.0,43.6
2009-01-02,25.0,71.0,45.8
2009-01-03,18.0,81.0,46.4
2009-01-04,15.0,75.0,40.1
2009-01-05,39.0,81.0,59.9
2009-01-06,65.0,133.0,96.5
2009-01-07,41.0,131.0,81.7
2009-01-08,29.0,130.0,73.2
2009-01-09,37.0,101.0,64.8
2009-01-10,27.0,106.0,53.0
2009-01-11,22.0,118.0,41.6
2009-01-12,36.0,76.0,53.0
2009-01-13,27.0,77.0,42.7
2009-01-14,32.0,114.0,62.9
2009-01-15,18.0,67.0,37.3
2009-01-16,27.0,108.0,56.8
2009-01-17,65.0,145.0,94.3
2009-01-18,73.0,163.0,110.6
2009-01-19,14.0,174.0,77.2
2009-01-20,20.0,81.0,49.0
2009-01-21,22.0,84.0,55.4
2009-01-22,25.0,95.0,61.7
2009-01-23,34.0,129.0,73.6
2009-01-24,29.0,98.0,44.0
2009-01-25,24.0,85.0,46.9
2009-01-26,19.0,55.0,33.4
2009-01-27,34.0,58.0,45.6
2009-01-28,25.0,73.0,45.3
2009-01-29,27.0,115.0,59.3
2009-01-30,9.0,94.0,37.3
2009-01-31,5.0,42.0,21.6
2009-02-01,8.0,58.0,28.2
2009-02-02,26.0,76.0,48.8
2009-02-03,39.0,135.0,76.8
2009-02-04,77.0,178.0,104.2
2009-02-05,57.0,166.0,105.8
2009-02-06,90.0,188.0,141.0
2009-02-07,99.0,197.0,142.9
2009-02-08,35.0,179.0,99.2
2009-02-09,29.0,74.0,51.7
2009-02-10,31.0,101.0,64.4
2009-02-11,83.0,268.0,174.7
2009-02-12,68.0,235.0,154.6
2009-02-13,5.0,105.0,46.6
2009-02-14,42.0,100.0,74.5
2009-02-15,20.0,91.0,52.8
2009-02-16,18.0,58.0,33.2
2009-02-17,18.0,54.0,32.0
2009-02-18,9.0,59.0,35.5
2009-02-19,32.0,128.0,58.3
2009-02-20,27.0,901.0,236.0
2009-02-21,72.0,129.0,94.8
2009-02-22,57.0,121.0,78.8
2009-02-23,27.0,81.0,56.8
2009-02-24,14.0,68.0,42.4
2009-02-25,32.0,108.0,63.7
2009-02-26,27.0,76.0,45.1
2009-02-27,30.0,88.0,54.1
2009-02-28,19.0,108.0,62.1
2009-03-01,28.0,93.0,52.4
2009-03-02,18.0,67.0,39.9
2009-03-03,15.0,66.0,37.0
2009-03-04,48.0,138.0,84.6
2009-03-05,0.0,137.0,56.8
2009-03-06,18.0,187.0,59.0
2009-03-07,20.0,55.0,33.9
2009-03-08,9.0,53.0,36.1
2009-03-09,20.0,105.0,57.3
2009-03-10,23.0,99.0,51.2
2009-03-11,21.0,77.0,41.2
2009-03-12,14.0,87.0,44.6
2009-03-13,0.0,88.0,31.3
2009-03-14,33.0,176.0,90.7
2009-03-15,38.0,94.0,66.1
2009-03-16,87.0,222.0,156.0
2009-03-17,59.0,325.0,246.7
2009-03-18,17.0,58.0,38.5
2009-03-19,11.0,68.0,38.2
2009-03-20,7.0,89.0,32.1
2009-03-21,41.0,88.0,66.7
2009-03-22,17.0,80.0,41.4
2009-03-23,18.0,54.0,38.8
2009-03-24,24.0,52.0,39.6
2009-03-25,37.0,85.0,55.6
2009-03-26,23.0,85.0,47.2
2009-03-27,21.0,74.0,45.5
2009-03-28,26.0,71.0,48.2
2009-03-29,13.0,65.0,42.8
2009-03-30,0.0,71.0,31.9
2009-03-31,33.0,125.0,66.1
2009-04-01,47.0,122.0,79.8
2009-04-02,35.0,99.0,65.8
2009-04-03,23.0,90.0,50.5
2009-04-04,16.0,87.0,55.7
2009-04-05,52.0,136.0,94.4
2009-04-06,58.0,138.0,92.0
2009-04-07,97.0,171.0,126.9
2009-04-08,75.0,167.0,122.1
2009-04-09,97.0,182.0,140.6
2009-04-10,69.0,205.0,145.4
2009-04-11,61.0,193.0,111.1
2009-04-12,56.0,162.0,115.8
2009-04-13,25.0,127.0,84.9
2009-04-14,18.0,69.0,41.8
2009-04-15,5.0,78.0,36.9
2009-04-16,0.0,43.0,24.1
2009-04-17,26.0,73.0,45.8
2009-04-18,19.0,85.0,47.7
2009-04-19,19.0,70.0,48.6
2009-04-20,1.0,73.0,32.1
2009-04-21,0.0,52.0,28.3
2009-04-22,9.0,44.0,26.1
2009-04-23,28.0,64.0,43.8
2009-04-24,12.0,65.0,29.7
2009-04-25,0.0,80.0,23.5
2009-04-26,0.0,24.0,10.3
2009-04-27,4.0,66.0,31.2
2009-04-28,4.0,84.0,49.5
2009-04-29,24.0,94.0,52.4
2009-04-30,35.0,74.0,54.2
2009-05-01,30.0,87.0,44.0
2009-05-02,14.0,48.0,32.7
2009-05-03,15.0,61.0,35.2
2009-05-04,28.0,83.0,50.3
2009-05-05,31.0,114.0,73.7
2009-05-06,45.0,182.0,89.1
2009-05-07,42.0,109.0,73.3
2009-05-08,66.0,154.0,102.4
2009-05-09,38.0,203.0,77.4
2009-05-10,36.0,72.0,53.0
2009-05-11,11.0,53.0,36.6
2009-05-12,3.0,69.0,29.8
2009-05-13,30.0,127.0,76.2
2009-05-14,43.0,108.0,69.2
2009-05-15,31.0,432.0,98.3
2009-05-16,0.0,81.0,20.3
2009-05-17,0.0,60.0,27.4
2009-05-18,41.0,208.0,82.7
2009-05-19,77.0,116.0,96.1
2009-05-20,70.0,155.0,96.7
2009-05-21,0.0,109.0,33.1
2009-05-22,0.0,75.0,32.3
2009-05-23,20.0,84.0,52.4
2009-05-24,30.0,128.0,55.5
2009-05-25,28.0,78.0,54.3
2009-05-26,19.0,71.0,49.0
2009-05-27,18.0,67.0,39.2
2009-05-28,21.0,47.0,35.0
2009-05-29,12.0,51.0,32.8
2009-05-30,10.0,99.0,42.8
2009-05-31,41.0,82.0,58.3
2009-06-01,35.0,280.0,106.4
2009-06-02,53.0,280.0,99.7
2009-06-03,29.0,74.0,52.2
2009-06-04,37.0,98.0,64.9
2009-06-05,23.0,80.0,45.9
2009-06-06,14.0,64.0,34.6
2009-06-07,13.0,68.0,38.0
2009-06-08,29.0,103.0,53.3
2009-06-09,15.0,96.0,50.8
2009-06-10,0.0,77.0,28.9
2009-06-11,12.0,68.0,41.3
2009-06-12,15.0,65.0,39.6
2009-06-13,29.0,62.0,43.6
2009-06-14,26.0,70.0,45.7
2009-06-15,15.0,74.0,49.8
2009-06-16,25.0,67.0,44.8
2009-06-17,30.0,65.0,52.2
2009-06-18,20.0,83.0,53.4
2009-06-19,14.0,79.0,43.7
2009-06-20,0.0,38.0,20.0
2009-06-21,0.0,65.0,27.7
2009-06-22,16.0,69.0,41.3
2009-06-23,25.0,177.0,53.5
2009-06-24,33.0,79.0,56.1
2009-06-25,15.0,71.0,43.4
2009-06-26,0.0,76.0,47.7
2009-06-27,26.0,67.0,44.7
2009-06-28,5.0,47.0,22.9
2009-06-29,0.0,47.0,25.4
2009-06-30,18.0,73.0,42.8
2009-07-01,14.0,67.0,36.2
2009-07-02,0.0,77.0,31.1
2009-07-03,32.0,79.0,49.4
2009-07-04,5.0,80.0,53.0
2009-07-05,28.0,91.0,57.0
2009-07-06,35.0,94.0,64.2
2009-07-07,12.0,92.0,48.4
2009-07-08,24.0,79.0,45.9
2009-07-09,0.0,82.0,25.3
2009-07-10,13.0,74.0,44.9
2009-07-11,16.0,105.0,56.0
2009-07-12,0.0,37.0,15.1
2009-07-13,0.0,51.0,18.0
2009-07-14,0.0,28.0,9.6
2009-07-15,23.0,82.0,50.1
2009-07-16,5.0,92.0,54.8
2009-07-17,0.0,61.0,29.6
2009-07-18,3.0,42.0,22.6
2009-07-19,23.0,114.0,64.9
2009-07-20,5.0,123.0,76.4
2009-07-21,17.0,96.0,42.1
2009-07-22,20.0,60.0,41.2
2009-07-23,25.0,70.0,40.0
2009-07-24,0.0,64.0,24.0
2009-07-25,0.0,29.0,10.1
2009-07-26,0.0,32.0,13.4
2009-07-27,5.0,59.0,30.3
2009-07-28,5.0,59.0,25.4
2009-07-29,1.0,42.0,19.8
2009-07-30,12.0,82.0,33.9
2009-07-31,21.0,73.0,41.2
2009-08-01,0.0,64.0,39.3
2009-08-02,19.0,69.0,40.4
2009-08-03,22.0,53.0,36.6
2009-08-04,13.0,54.0,28.8
2009-08-05,5.0,32.0,16.9
2009-08-06,0.0,37.0,15.7
2009-08-07,3.0,31.0,14.3
2009-08-08,0.0,28.0,15.0
2009-08-09,0.0,27.0,9.8
2009-08-10,0.0,26.0,11.9
2009-08-11,0.0,22.0,9.6
2009-08-12,0.0,24.0,5.4
2009-08-13,5.0,145.0,45.6
2009-08-14,18.0,130.0,80.8
2009-08-15,27.0,139.0,75.6
2009-08-16,8.0,112.0,49.2
2009-08-17,7.0,51.0,28.2
2009-08-18,19.0,68.0,40.3
2009-08-19,8.0,71.0,36.6
2009-08-20,4.0,79.0,27.7
2009-08-21,19.0,48.0,31.2
2009-08-22,14.0,61.0,33.9
2009-08-23,15.0,58.0,38.5
2009-08-24,12.0,61.0,29.1
2009-08-25,0.0,143.0,37.8
2009-08-26,16.0,71.0,40.4
2009-08-27,0.0,35.0,18.5
2009-08-28,7.0,64.0,32.3
2009-08-29,6.0,45.0,22.2
2009-08-30,4.0,24.0,14.3
2009-08-31,5.0,28.0,15.0
2009-09-01,1.0,34.0,14.8
2009-09-02,1.0,30.0,16.0
2009-09-03,5.0,43.0,22.1
2009-09-04,7.0,51.0,27.1
2009-09-05,15.0,64.0,38.3
2009-09-06,23.0,73.0,44.4
2009-09-07,4.0,70.0,41.8
2009-09-08,0.0,34.0,17.1
2009-09-09,27.0,65.0,41.1
2009-09-10,22.0,51.0,36.3
2009-09-11,19.0,69.0,43.8
2009-09-12,0.0,49.0,15.1
2009-09-13,14.0,52.0,30.2
2009-09-14,28.0,72.0,41.6
2009-09-15,26.0,84.0,47.7
2009-09-16,28.0,72.0,48.7
2009-09-17,24.0,76.0,48.6
2009-09-18,18.0,71.0,45.0
2009-09-19,14.0,45.0,22.7
2009-09-20,4.0,42.0,21.2
2009-09-21,7.0,52.0,26.5
2009-09-22,39.0,131.0,75.1
2009-09-23,34.0,91.0,64.6
2009-09-24,27.0,97.0,61.0
2009-09-25,48.0,118.0,75.7
2009-09-26,16.0,131.0,47.4
2009-09-27,17.0,42.0,29.6
2009-09-28,16.0,52.0,34.5
2009-09-29,10.0,102.0,43.1
2009-09-30,12.0,85.0,33.3
2009-10-01,16.0,40.0,26.8
2009-10-02,19.0,58.0,35.0
2009-10-03,0.0,34.0,22.2
2009-10-04,0.0,26.0,10.8
2009-10-05,5.0,39.0,22.1
2009-10-06,16.0,52.0,30.2
2009-10-07,10.0,43.0,22.4
2009-10-08,2.0,23.0,13.9
2009-10-09,6.0,42.0,23.7
2009-10-10,22.0,53.0,37.9
2009-10-11,25.0,72.0,45.8
2009-10-12,25.0,67.0,45.2
2009-10-13,0.0,90.0,43.6
2009-10-14,0.0,63.0,29.2
2009-10-15,0.0,67.0,45.1
2009-10-16,25.0,72.0,47.8
2009-10-17,0.0,97.0,41.5
2009-10-18,17.0,73.0,47.0
2009-10-19,0.0,108.0,33.0
2009-10-20,40.0,338.0,131.3
2009-10-21,39.0,83.0,55.2
2009-10-22,23.0,75.0,53.0
2009-10-23,0.0,115.0,69.9
2009-10-24,50.0,113.0,71.8
2009-10-25,45.0,92.0,66.8
2009-10-26,62.0,102.0,82.2
2009-10-27,47.0,99.0,75.2
2009-10-28,58.0,98.0,75.1
2009-10-29,37.0,87.0,62.6
2009-10-30,57.0,133.0,78.7
2009-10-31,0.0,90.0,47.5
2009-11-01,0.0,58.0,37.0
2009-11-02,9.0,66.0,30.8
2009-11-03,13.0,47.0,29.1
2009-11-04,13.0,67.0,39.6
2009-11-05,18.0,93.0,54.8
2009-11-06,7.0,126.0,73.8
2009-11-07,21.0,94.0,54.8
2009-11-08,0.0,44.0,16.5
2009-11-09,0.0,29.0,15.3
2009-11-10,0.0,19.0,6.5
2009-11-11,0.0,23.0,7.1
2009-11-12,0.0,24.0,13.1
2009-11-13,0.0,37.0,11.8
2009-11-14,2.0,81.0,31.9
2009-11-15,7.0,65.0,27.9
2009-11-16,13.0,41.0,25.7
2009-11-17,14.0,42.0,28.1
2009-11-18,9.0,40.0,26.2
2009-11-19,20.0,56.0,39.2
2009-11-20,17.0,49.0,32.5
2009-11-21,24.0,62.0,42.5
2009-11-22,12.0,54.0,34.2
2009-11-23,20.0,102.0,58.2
2009-11-24,56.0,109.0,81.8
2009-11-25,32.0,97.0,66.5
2009-11-26,26.0,84.0,57.2
2009-11-27,45.0,157.0,91.3
2009-11-28,64.0,171.0,133.0
2009-11-29,7.0,68.0,33.1
2009-11-30,11.0,89.0,58.5
2009-12-01,45.0,147.0,91.6
2009-12-02,92.0,156.0,123.6
2009-12-03,29.0,184.0,70.1
2009-12-04,46.0,114.0,68.3
2009-12-05,1.0,104.0,31.5
2009-12-06,5.0,36.0,16.6
2009-12-07,13.0,87.0,45.2
2009-12-08,31.0,89.0,67.6
2009-12-09,14.0,89.0,48.3
2009-12-10,5.0,32.0,20.0
2009-12-11,0.0,45.0,19.9
2009-12-12,14.0,66.0,40.2
2009-12-13,26.0,80.0,52.9
2009-12-14,9.0,48.0,24.9
2009-12-15,14.0,58.0,32.8
2009-12-16,18.0,63.0,38.2
2009-12-17,19.0,53.0,36.7
2009-12-18,16.0,53.0,35.5
2009-12-19,14.0,109.0,56.1
2009-12-20,50.0,94.0,76.5
2009-12-21,25.0,78.0,49.3
2009-12-22,30.0,84.0,53.6
2009-12-23,41.0,138.0,80.9
2009-12-24,68.0,131.0,100.7
2009-12-25,74.0,986.0,297.1
2009-12-26,80.0,924.0,184.8
2009-12-27,54.0,117.0,78.8
2009-12-28,27.0,90.0,56.4
2009-12-29,32.0,60.0,46.9
2009-12-30,42.0,204.0,115.6
2009-12-31,15.0,72.0,39.1
2010-01-01,10.0,46.0,32.1
2010-01-02,23.0,90.0,47.9
2010-01-03,28.0,75.0,46.5
2010-01-04,8.0,86.0,38.2
2010-01-05,20.0,80.0,49.4
2010-01-06,17.0,50.0,35.7
2010-01-07,29.0,102.0,56.4
2010-01-08,40.0,115.0,74.5
2010-01-09,42.0,95.0,71.8
2010-01-10,27.0,100.0,58.7
2010-01-11,26.0,113.0,71.0
2010-01-12,15.0,62.0,34.7
2010-01-13,19.0,54.0,35.5
2010-01-14,25.0,66.0,43.5
2010-01-15,29.0,74.0,50.5
2010-01-16,30.0,81.0,52.6
2010-01-17,17.0,77.0,48.0
2010-01-18,52.0,106.0,71.7
2010-01-19,66.0,116.0,83.9
2010-01-20,15.0,82.0,48.0
2010-01-21,28.0,56.0,41.1
2010-01-22,16.0,62.0,39.9
2010-01-23,31.0,74.0,48.0
2010-01-24,37.0,85.0,55.7
2010-01-25,65.0,359.0,131.3
2010-01-26,30.0,83.0,55.8
2010-01-27,10.0,74.0,45.9
2010-01-28,17.0,95.0,51.9
2010-01-29,17.0,80.0,45.1
2010-01-30,54.0,103.0,75.8
2010-01-31,61.0,152.0,95.6
2010-02-01,29.0,162.0,103.6
2010-02-02,9.0,54.0,25.5
2010-02-03,22.0,60.0,40.4
2010-02-04,25.0,88.0,46.5
2010-02-05,13.0,55.0,35.1
2010-02-06,20.0,68.0,47.4
2010-02-07,7.0,74.0,43.2
2010-02-08,21.0,68.0,43.1
2010-02-09,19.0,87.0,46.6
2010-02-10,1.0,61.0,29.8
2010-02-11,0.0,21.0,8.6
2010-02-12,4.0,43.0,17.6
2010-02-13,16.0,49.0,32.0
2010-02-14,19.0,57.0,32.8
2010-02-15,32.0,99.0,56.4
2010-02-16,19.0,73.0,42.1
2010-02-17,26.0,78.0,50.6
2010-02-18,35.0,95.0,60.9
2010-02-19,30.0,92.0,55.4
2010-02-20,49.0,93.0,72.7
2010-02-21,26.0,88.0,57.8
2010-02-22,31.0,92.0,60.9
2010-02-23,41.0,132.0,76.7
2010-02-24,19.0,115.0,70.2
2010-02-25,0.0,70.0,32.2
2010-02-26,8.0,65.0,32.1
2010-02-27,19.0,62.0,35.9
2010-02-28,37.0,92.0,54.9
2010-03-01,0.0,90.0,19.6
2010-03-02,0.0,71.0,28.6
2010-03-03,61.0,110.0,85.8
2010-03-04,15.0,58.0,32.3
2010-03-05,9.0,100.0,38.3
2010-03-06,0.0,101.0,55.4
2010-03-07,0.0,28.0,13.4
2010-03-08,0.0,37.0,12.6
2010-03-09,3.0,44.0,18.7
2010-03-10,5.0,47.0,26.5
2010-03-11,16.0,71.0,44.1
2010-03-12,44.0,170.0,74.4
2010-03-13,78.0,199.0,120.6
2010-03-14,0.0,195.0,90.3
2010-03-15,0.0,376.0,104.0
2010-03-16,29.0,511.0,231.2
2010-03-17,27.0,74.0,46.1
2010-03-18,22.0,57.0,40.1
2010-03-19,12.0,70.0,44.4
2010-03-20,7.0,546.0,102.2
2010-03-21,16.0,69.0,43.0
2010-03-22,14.0,77.0,43.7
2010-03-23,7.0,78.0,48.4
2010-03-24,41.0,118.0,72.0
2010-03-25,11.0,94.0,51.0
2010-03-26,19.0,82.0,47.6
2010-03-27,51.0,129.0,86.8
2010-03-28,22.0,119.0,52.0
2010-03-29,31.0,90.0,55.1
2010-03-30,19.0,88.0,54.8
2010-03-31,1.0,68.0,28.7
2010-04-01,2.0,145.0,59.6
2010-04-02,39.0,172.0,93.3
2010-04-03,44.0,122.0,70.4
2010-04-04,29.0,71.0,49.2
2010-04-05,16.0,66.0,40.4
2010-04-06,20.0,71.0,44.0
2010-04-07,17.0,56.0,37.2
2010-04-08,23.0,80.0,56.2
2010-04-09,27.0,66.0,44.9
2010-04-10,12.0,117.0,50.4
2010-04-11,3.0,49.0,25.9
2010-04-12,14.0,61.0,30.3
2010-04-13,0.0,74.0,31.0
2010-04-14,25.0,49.0,34.9
2010-04-15,20.0,95.0,43.5
2010-04-16,22.0,111.0,71.0
2010-04-17,31.0,70.0,47.9
2010-04-18,19.0,80.0,56.2
2010-04-19,33.0,68.0,52.0
2010-04-20,12.0,85.0,50.9
2010-04-21,3.0,50.0,31.1
2010-04-22,0.0,25.0,11.7
2010-04-23,5.0,45.0,21.8
2010-04-24,28.0,85.0,52.7
2010-04-25,33.0,87.0,60.6
2010-04-26,0.0,87.0,42.1
2010-04-27,0.0,72.0,35.1
2010-04-28,2.0,82.0,35.7
2010-04-29,0.0,88.0,57.6
2010-04-30,6.0,101.0,45.6
